n,m,density,greedy,greedy_std,fv,er,sw025,sw050,sw075,win,tie
24,23,0.0833,0.069054,0.000000,None,None,0.0406239297,0.0472691981,0.1100818685,0,0
24,24,0.0870,0.069054,0.000000,0.0681483474,0.0681483474,0.0166289256,0.0519939142,0.0723925662,0,1
24,25,0.0906,0.091332,0.008875,0.0681483474,0.0681483474,0.0426898027,0.0928739886,0.1825632655,0,0
24,26,0.0942,0.128372,0.016017,0.2031574113,0.2031574113,0.1036321644,0.0502020582,0.1169581988,0,0
24,27,0.0978,0.156048,0.020916,0.2031574113,0.2031574113,0.0757974538,0.1880248038,0.2082395048,0,0
24,28,0.1014,0.194692,0.015363,0.2679491924,0.2679491924,0.1274382305,0.1459791137,0.2101832099,0,0
24,29,0.1051,0.274293,0.037102,0.2679491924,0.2679491924,0.1458979361,0.2121483928,0.3051569351,0,0
24,30,0.1087,0.309993,0.040059,0.3945081224,0.348089658,0.2049699778,0.2429863388,0.2414887382,0,0
24,31,0.1123,0.370636,0.045430,0.4260219829,0.3784888209,0.1996593151,0.1900148256,0.3474996536,0,0
24,32,0.1159,0.421506,0.056089,0.500195933,0.5308544765,0.1805805241,0.3103374024,0.3230324461,0,0
24,33,0.1196,0.473287,0.049524,0.5461133075,0.5492972024,0.2721585739,0.2887409717,0.3134006185,0,0
24,34,0.1232,0.492631,0.058625,0.6407608943,0.6570769172,0.3089870362,0.1873632549,0.4666435233,0,0
24,35,0.1268,0.544107,0.062118,0.7070030271,0.6570769172,0.2440656827,0.3854852842,0.4419466375,0,0
24,36,0.1304,0.624467,0.108165,0.7511166894,0.80012577,0.329055371,0.2871196608,0.5112163944,0,0
24,37,0.1341,0.685931,0.050635,0.8001075391,0.860380785,0.3146932604,0.4449351483,0.4704206215,0,0
24,38,0.1377,0.652694,0.143464,0.8415720477,0.9542520184,0.3798701562,0.4767901248,0.5990448019,0,0
24,39,0.1413,0.830937,0.057065,0.9234121966,0.9870775489,0.4572024868,0.4890803354,0.6719844195,0,0
24,40,0.1449,0.883670,0.091102,1.0248189492,1.0261828152,0.4442644247,0.5117179558,0.5187849306,0,0
24,41,0.1486,0.873216,0.138709,1.0653391321,1.2096802037,0.474815286,0.572220569,0.6321374766,0,0
24,42,0.1522,0.971688,0.092086,1.1147707226,1.2727831257,0.6141261028,0.7242800711,0.7214901373,0,0
24,43,0.1558,0.929221,0.047637,1.213231511,1.2890082112,0.4684326048,0.7274291517,0.7666398563,0,0
24,44,0.1594,1.034382,0.208164,1.3181395093,1.3160087772,0.6728179202,0.7279335678,0.6847542697,0,0
24,45,0.1630,1.218341,0.143193,1.3570232368,1.3411006463,0.5373923833,0.6053514748,0.7630483317,0,0
24,46,0.1667,1.175655,0.108688,1.4574608899,1.4556517245,0.7717721098,0.8141166167,0.8675415826,0,0
24,47,0.1703,1.332368,0.035850,1.4763507598,1.4974238728,0.6791461798,0.7838500146,0.8426407152,0,0
24,48,0.1739,1.354981,0.111216,1.5375490117,1.6141948169,0.553821527,0.8965751761,1.2305787152,0,0
24,49,0.1775,1.425331,0.226108,1.6585923754,1.6929545206,0.7176935266,0.8466319229,1.0039199613,0,0
24,50,0.1812,1.534687,0.049204,1.7191888822,1.8001457234,0.7804193992,1.069920242,1.1679222434,0,0
24,51,0.1848,1.477245,0.168152,1.8280261191,2.0096200914,0.7104822326,1.090309496,1.3875236376,0,0
24,52,0.1884,1.455355,0.110214,1.9725210434,2.0105635947,0.8904833621,1.024442591,1.2937280362,0,0
24,53,0.1920,1.658422,0.179292,2.0930009456,2.0299843535,0.8987447589,1.0828521243,1.342781241,0,0
24,54,0.1957,1.598008,0.287534,2.1639934525,2.0705106627,0.8816574141,1.2496516682,1.4062098017,0,0
24,55,0.1993,1.709857,0.127201,2.3089545338,2.1782150503,0.9210588992,1.1823524,1.5303528292,0,0
24,56,0.2029,1.837117,0.141764,2.3360229402,2.329243494,1.0503109578,1.3863770089,1.8089974682,0,0
24,57,0.2065,1.902692,0.145918,2.386915234,2.3696818667,1.0833263282,1.1102611557,1.5935995806,0,0
24,58,0.2101,1.788347,0.229591,2.4491635833,2.4674459608,1.0422574799,1.4648366217,1.7103400881,0,0
24,59,0.2138,2.128592,0.136195,2.4916977319,2.5397771742,1.1033325332,1.5421716785,1.6248986306,0,0
24,60,0.2174,2.058570,0.175605,2.5558781977,2.5452717729,1.3034493017,1.7062148551,1.5893935167,0,0
24,61,0.2210,2.123488,0.154532,2.6196549818,2.6392049101,1.1600236308,1.4811301699,2.0825382671,0,0
24,62,0.2246,2.179664,0.173232,2.7132726212,2.6559125919,1.5273202388,1.6876903063,1.5818425957,0,0
24,63,0.2283,2.308789,0.093103,2.7800923668,2.6937221558,1.4416014763,1.8272604333,1.9467714247,0,0
24,64,0.2319,2.246743,0.101925,2.8850011656,2.8803200566,1.3888214621,1.843469813,2.0992058686,0,0
24,65,0.2355,2.425690,0.060773,2.9948360681,2.8979687196,1.4215231921,1.6041953666,2.1960572453,0,0
24,66,0.2391,2.188804,0.353814,3.0309101588,2.9913692948,1.7640611334,1.795566109,2.104490843,0,0
24,67,0.2428,2.510057,0.134841,3.0680862958,3.0507150818,1.6017179303,1.8618749923,2.1631107445,0,0
24,68,0.2464,2.745768,0.084126,3.1451701031,3.2592885196,1.7108062567,1.5704331929,2.0988597519,0,0
24,69,0.2500,2.816857,0.130986,3.2671919552,3.2636154479,1.7719762528,2.2564119129,2.3100140464,0,0
24,70,0.2536,2.781991,0.090550,3.3077179325,3.5144930379,1.862653261,2.2456686913,2.2041830643,0,0
24,71,0.2572,2.875431,0.146840,3.4086862564,3.6508542193,1.7130180605,1.8693730566,2.6763319702,0,0
24,72,0.2609,2.888576,0.278223,3.4764880027,3.6573071477,1.5288895189,2.2587184632,2.4784902028,0,0
24,73,0.2645,2.927010,0.126626,3.5206652406,3.7221480493,1.3971489259,2.2811626943,2.4384092245,0,0
24,74,0.2681,2.941701,0.070471,3.7090998911,3.7221923643,1.8719458674,2.2544221212,2.2835307274,0,0
24,75,0.2717,3.131839,0.156497,3.7461635114,3.7805384712,1.9139939718,2.1716892832,2.8381733533,0,0
24,76,0.2754,3.300425,0.096637,3.8729883435,3.8326474524,1.850967141,2.3373849309,2.767467345,0,0
24,77,0.2790,3.376650,0.161456,3.8893495041,3.8328604973,1.8039502162,2.552413899,3.0148107462,0,0
24,78,0.2826,3.198096,0.187634,3.941122182,3.977014428,1.7960329592,2.5652065117,3.09075717,0,0
24,79,0.2862,3.267995,0.313555,4.0779559003,4.0696519804,2.1024699093,2.1506956932,2.6462003552,0,0
24,80,0.2899,3.452049,0.157989,4.1885562471,4.0712910998,1.9975266554,2.8531331241,3.3570187689,0,0
24,81,0.2935,3.322239,0.354289,4.2126437068,4.1905557045,2.2267022411,2.3198966812,3.5474543857,0,0
24,82,0.2971,3.460735,0.178532,4.3220351947,4.1913801101,2.2097051144,2.6998340881,3.3620600035,0,0
24,83,0.3007,3.655504,0.127549,4.3840117565,4.2152430378,2.3855351536,3.14873904,3.0782994812,0,0
24,84,0.3043,3.808411,0.238862,4.46287985,4.4494208346,2.2777738942,2.9708555478,3.4077476561,0,0
24,85,0.3080,3.737002,0.346192,4.5361314838,4.4852521793,2.5680104592,3.0128359587,3.531418484,0,0
24,86,0.3116,4.058439,0.102995,4.6585192848,4.8156361826,2.8881392216,3.1181288378,3.4661644353,0,0
24,87,0.3152,3.859061,0.188050,4.7422911088,4.8391312577,2.5702248805,3.1588183108,3.224054411,0,0
24,88,0.3188,4.025440,0.212744,4.7830927141,4.9567481542,2.7040679353,3.1794272977,3.5549280853,0,0
24,89,0.3225,4.156809,0.018476,4.8732155317,4.9587901174,2.5233383814,3.4423925637,3.9263863764,0,0
24,90,0.3261,4.064749,0.216629,4.9256108479,5.0291592475,3.0073793697,2.5457671535,4.0519386632,0,0
24,91,0.3297,4.217775,0.220552,5.0656435974,5.1373197306,3.1016776577,3.4339023094,3.6343415671,0,0
24,92,0.3333,4.169530,0.222423,5.084861577,5.1463302879,2.7200500633,3.348095328,3.802727782,0,0
24,93,0.3370,4.485867,0.294555,5.1866180185,5.2149788441,3.0235253701,3.3058207663,4.1907459927,0,0
24,94,0.3406,4.515118,0.265104,5.2686478706,5.2170676843,2.9653542019,2.9425367301,3.4010454944,0,0
24,95,0.3442,4.638227,0.113711,5.321493275,5.2410335914,3.1516172372,3.7237552436,3.9110795935,0,0
24,96,0.3478,4.530798,0.195091,5.4712585521,5.4507824455,2.9002203625,3.3863659444,4.3695254364,0,0
24,97,0.3514,4.758183,0.110503,5.5061706167,5.5892724715,2.931274242,3.503326632,4.0118796943,0,0
24,98,0.3551,4.742194,0.292396,5.5458497708,5.6227640322,3.1430458797,4.0276479569,4.506448588,0,0
24,99,0.3587,4.664387,0.301929,5.7188751762,5.8653838701,3.076208848,3.6379978794,4.4402310218,0,0
24,100,0.3623,4.566952,0.361941,5.7905708353,5.9083160174,3.1208024122,4.1459582859,4.684931914,0,0
24,101,0.3659,4.943789,0.189399,5.908605812,5.9775594144,3.3905261735,4.2619611084,4.9485109239,0,0
24,102,0.3696,5.041847,0.091649,5.9475642122,6.0449254514,3.6034905326,4.3254561974,4.5885727334,0,0
24,103,0.3732,5.113425,0.201367,6.0473941056,6.1377804374,3.5647111202,4.0079041775,4.8985706509,0,0
24,104,0.3768,5.149983,0.150290,6.1476656835,6.3039480589,3.4851987986,4.4737589149,4.6373427653,0,0
24,105,0.3804,5.104472,0.307132,6.192380338,6.3055355649,3.4800779781,4.4784470118,4.8932622955,0,0
24,106,0.3841,5.366294,0.077240,6.273752774,6.3554255151,3.6790593493,4.6236662061,5.3094744574,0,0
24,107,0.3877,5.514367,0.207985,6.4362524404,6.3855075221,3.6366718077,4.7656493673,4.7598314692,0,0
24,108,0.3913,5.649343,0.262131,6.4643954026,6.6303237447,3.9726749134,4.2501583237,4.4653158216,0,0
