n,m,density,greedy,greedy_std,fv,er,sw025,sw050,sw075,win,tie
16,15,0.1250,0.137262,0.000000,None,None,0.0552935093,0.1412385407,0.0788334211,0,1
16,16,0.1333,0.137262,0.000000,0.152240935,0.152240935,0.0441482134,0.0987634295,0.1442368888,0,0
16,17,0.1417,0.188042,0.036313,0.152240935,0.152240935,0.1028295601,0.0916397554,0.2522960535,0,0
16,18,0.1500,0.302506,0.022137,0.4071376319,0.4071376319,0.112269443,0.1988629311,0.3246717668,0,0
16,19,0.1583,0.385625,0.073795,0.4071376319,0.4071376319,0.1851240933,0.2700230031,0.4560540255,0,0
16,20,0.1667,0.427047,0.079170,0.5857864376,0.5857864376,0.2995919424,0.3427198929,0.4888851497,0,0
16,21,0.1750,0.490428,0.075953,0.5857864376,0.5857864376,0.37532533,0.3406751325,0.4352220823,0,0
16,22,0.1833,0.595185,0.125633,0.6972243623,0.6972243623,0.2927182395,0.2800036233,0.4356131045,0,0
16,23,0.1917,0.714807,0.065627,0.7450183506,0.7329324987,0.3959287876,0.5937399998,0.5384991312,0,1
16,24,0.2000,0.798953,0.149443,0.9715001703,0.9696781528,0.4136900271,0.5335858333,0.5855846537,0,0
16,25,0.2083,0.917113,0.074870,1.0729108259,1.0789622878,0.5667452859,0.6800663603,0.7058639859,0,0
16,26,0.2167,0.953270,0.153257,1.216655293,1.1745476312,0.4498393409,0.7975023553,0.7384421001,0,0
16,27,0.2250,1.101291,0.148428,1.3954838396,1.302898423,0.6851853735,0.4080097198,0.6541644862,0,0
16,28,0.2333,1.167634,0.218314,1.5238914945,1.462868388,0.7175874994,0.7862262744,1.0031136218,0,0
16,29,0.2417,1.183283,0.097924,1.7069148136,1.6330821757,0.5713370491,0.9826259662,1.0338431157,0,0
16,30,0.2500,1.430727,0.148004,1.8508929577,1.8174907016,0.7817023633,0.9458152803,1.1048450342,0,0
16,31,0.2583,1.483946,0.179089,1.9106477695,1.941842687,0.7865803531,0.8627328114,1.2028223642,0,0
16,32,0.2667,1.515634,0.164036,1.9748948015,2.0,1.0203223654,1.1971755893,1.2523402805,0,0
16,33,0.2750,1.662827,0.101603,2.1209813537,2.0463495285,1.0320474563,1.1382169448,1.4522098198,0,0
16,34,0.2833,1.691717,0.283348,2.3331447655,2.1175877871,1.1534965008,1.2945471207,1.6086652739,0,0
16,35,0.2917,1.987091,0.068160,2.5416391054,2.2498909013,1.294635546,1.3669670993,1.7179375069,0,0
16,36,0.3000,1.977495,0.152044,2.5942129031,2.4944901096,1.1727185289,1.5982904881,1.4417686667,0,0
16,37,0.3083,2.076283,0.170220,2.665017557,2.6761971723,1.3684961671,1.5269652716,1.954311156,0,0
16,38,0.3167,2.328552,0.062717,2.7332449166,2.7358164231,1.4002518859,1.5443261827,1.978146102,0,0
