n,m,v10
64,65,0.0073893283
64,66,0.0102769836
64,67,0.0045295723
64,68,0.0194249489
64,69,0.0395447600
64,70,0.0001206630
64,71,-0.0593948167
64,72,0.0794641688
64,73,0.1056635685
64,74,0.0164316683
64,75,0.0414267353
64,76,-0.9448034876
64,77,0.0005948750
64,78,0.1489790733
64,79,0.0000086671
64,80,0.0001164927
64,81,0.0014941062
64,82,0.1622868935
64,83,0.1327370084
64,84,0.1736980452
64,85,-0.2743602381
64,86,0.0584472523
64,87,0.0000012554
64,88,-0.0000000000
64,89,0.3397887316
64,90,0.3220059602
64,91,0.3053787028
64,92,0.0001777554
64,93,0.2960127751
64,94,0.3137149663
64,95,0.0000000002
64,96,0.3821246269
64,97,0.4175674735
64,98,0.3815749972
64,99,0.4049731877
64,100,0.4492735785
64,101,0.3887352221
64,102,0.5475238519
64,103,0.5350512678
64,104,0.4703892276
64,105,0.5682042996
64,106,0.5782132919
64,107,0.5923070620
64,108,0.5734801869
64,109,0.1693281759
64,110,0.6481123261
64,111,0.7147195266
64,112,0.0000010291
64,113,0.7156285049
64,114,0.0014069493
64,115,0.0020191268
64,116,0.8079506731
64,117,0.7479978173
64,118,0.7960311795
64,119,0.4717787154
64,120,0.7481737985
64,121,0.5098510395
64,122,0.8616106627
64,123,0.8819275964
64,124,0.7195550757
64,125,0.0000000082
64,126,0.9489433876
64,127,0.8274063491
64,128,0.1995892745
64,129,0.0000463862
64,130,1.0582813331
64,131,-0.0000000000
64,132,1.0187795368
64,133,1.0180431260
64,134,1.0448189805
64,135,1.1268202235
64,136,1.1514837724
64,137,1.0352029980
64,138,1.1748842990
64,139,0.0057007811
64,140,1.2222654346
64,141,0.6079459849
64,142,1.2305174003
64,143,1.2442965441
64,144,1.2532291964
64,145,0.0810316360
64,146,1.2834101178
64,147,1.4048808622
64,148,1.4184877775
64,149,1.3605969871
64,150,1.4490861711
64,151,1.3855478644
64,152,1.1741226354
64,153,1.2091975966
64,154,1.5114042682
64,155,0.0011935396
64,156,1.6279697864
64,157,1.6961201390
64,158,0.9386864117
64,159,1.5760675383
64,160,1.7419145738
64,161,1.2778081454
64,162,1.7057418453
64,163,1.6580206587
64,164,1.4256221191
64,165,1.7772964948
64,166,1.5327396681
64,167,0.5784382916
64,168,1.9505390445
64,169,1.9067005202
64,170,0.7127130489
64,171,0.2323774141
64,172,1.7699163590
64,173,1.8905238964
64,174,0.0887382278
64,175,2.0018969532
64,176,0.0001662400
64,177,2.0026583577
64,178,2.0888577373
64,179,2.1103275798
64,180,2.0279962915
64,181,2.0618019848
64,182,2.0473617992
64,183,2.2370681732
64,184,2.2166893668
64,185,2.2618162391
64,186,1.8763694618
64,187,2.1832981419
64,188,2.3641855051
64,189,1.1270523823
64,190,1.9000396670
64,191,2.3533044527
64,192,2.4016880258
64,193,1.7597113681
64,194,2.4292036054
64,195,2.4965647982
64,196,2.1694858962
64,197,1.2000699440
64,198,0.0000235765
64,199,1.6177557873
64,200,2.5755001331
64,201,2.5662642043
64,202,2.6471579422
64,203,1.6888068810
64,204,1.6730138075
64,205,1.8044352838
64,206,2.7256373081
64,207,2.8409045300
64,208,0.0000000340
64,209,2.8475912853
64,210,2.7484414233
64,211,2.7658236749
64,212,2.3503172594
64,213,2.8656348630
64,214,2.9097765587
64,215,2.9254639365
64,216,3.0068820964
64,217,3.0059464972
64,218,1.3008220902
64,219,2.8549487955
64,220,3.1405274465
64,221,1.7826858747
64,222,3.1242987146
64,223,2.7230303233
64,224,3.1224586601
64,225,3.0975738210
64,226,3.2214072535
64,227,1.6835100524
64,228,3.2497988750
64,229,3.3263467601
64,230,3.2745865035
64,231,3.4102487208
64,232,0.6365418433
64,233,3.4509666326
64,234,3.0682466406
64,235,3.5418323408
64,236,2.0085125228
64,237,0.4236048210
64,238,3.5128489595
64,239,3.5657786364
64,240,3.5216940441
64,241,2.4446718298
64,242,3.6482235026
64,243,2.7842175518
64,244,3.7100189913
64,245,3.6461799887
64,246,3.6496836494
64,247,3.7848203281
64,248,3.8370661613
64,249,3.9235071426
64,250,3.9386232278
64,251,0.4339447521
64,252,3.8620310528
64,253,3.9059804032
64,254,3.7236129233
64,255,3.9072033215
64,256,3.9767999824
64,257,3.9140917958
64,258,3.9864600221
64,259,3.9301262232
64,260,3.3239428574
64,261,2.8246675904
64,262,3.9970518568
64,263,4.0306836386
64,264,3.9748101334
64,265,4.0478231483
64,266,3.6332752434
64,267,4.2992834556
64,268,2.4417308546
64,269,4.3073627437
64,270,4.3177548605
64,271,4.3438029431
64,272,2.7367364455
64,273,4.4639641511
64,274,3.6080658615
64,275,4.4023096086
64,276,3.4324181761
64,277,4.5886192253
64,278,4.5747351098
64,279,4.5979052664
64,280,2.7462016163
64,281,4.5803713304
64,282,3.8104988372
64,283,4.6153319944
64,284,4.5901388436
64,285,4.7734766046
64,286,2.4928391375
64,287,4.8124542367
64,288,4.7615390235
64,289,4.0701739797
64,290,4.8661633375
64,291,3.4265987468
64,292,4.8403902502
64,293,2.3244904171
64,294,4.8557247904
64,295,4.9742243209
64,296,5.0575329663
64,297,5.0061460236
64,298,5.0243982171
64,299,2.6334901161
64,300,5.0292054661
64,301,5.0833298488
64,302,5.2849153101
64,303,5.1222143201
64,304,3.2458855909
64,305,5.1754359669
64,306,5.1078431615
64,307,5.3139296608
64,308,5.3007839956
64,309,5.3926813304
64,310,5.5312873448
64,311,4.5844949246
64,312,5.4510902537
64,313,5.3395626675
64,314,5.4729418209
64,315,4.5327157356
64,316,5.6068265720
64,317,5.5389924191
64,318,1.8751806470
64,319,5.5624430371
64,320,4.4227725532
64,321,4.9174722740
64,322,5.6960668866
64,323,5.6721594699
64,324,5.7324713736
64,325,5.6399717114
64,326,5.6818552760
64,327,5.7919006999
64,328,5.8810404781
64,329,5.3950016882
64,330,5.7834345688
64,331,5.0197357514
64,332,5.9638154065
64,333,5.8266439395
64,334,5.9848500230
64,335,6.0915453301
64,336,6.0983877079
64,337,5.6783630790
64,338,5.5824603808
64,339,5.9906821307
64,340,6.2634162968
64,341,6.3121631841
64,342,6.1166363353
64,343,6.2931865453
64,344,6.1928980282
64,345,6.2555252108
64,346,6.3759903861
64,347,5.5981614259
64,348,6.4543232275
64,349,6.3278467016
64,350,6.4661681166
64,351,6.3905448294
64,352,6.2779803148
64,353,6.1607438817
64,354,5.9613153134
64,355,6.6807937515
64,356,3.5844819568
64,357,3.8874168173
64,358,6.5864867087
64,359,6.6676004581
64,360,5.7179346268
64,361,6.5603296726
64,362,6.1598865267
64,363,6.8334267682
64,364,5.1084832118
64,365,6.3366609061
64,366,6.3633365090
64,367,6.8907007077
64,368,6.9779150937
64,369,6.9390620405
64,370,7.0076364202
64,371,7.0035754404
64,372,7.0548703910
64,373,7.0168967387
64,374,6.9272559803
64,375,4.4779791354
64,376,7.1399287683
64,377,4.1049565981
64,378,4.3111579891
64,379,6.0739830020
64,380,3.8183329396
64,381,6.3904183290
64,382,7.1330507746
64,383,7.2741622644
64,384,7.2130516987
64,385,7.4013246920
64,386,7.4222317379
64,387,7.5406946812
64,388,7.5596673107
64,389,7.3562500536
64,390,7.4325031289
64,391,7.5397312825
64,392,7.7398469630
64,393,3.2361387385
64,394,7.6417381458
64,395,5.9364845584
64,396,5.8847678227
64,397,5.3040523839
64,398,7.7856118012
64,399,7.6672587653
64,400,7.8177926133
64,401,7.8043265814
64,402,6.0325595693
64,403,7.8625432343
64,404,6.3430748252
64,405,8.0115028418
64,406,7.7459516779
64,407,7.5785263275
64,408,8.0533436469
64,409,7.9603255260
64,410,8.0846556880
64,411,7.9401261854
64,412,8.0649955838
64,413,8.0303261141
64,414,7.8637861067
64,415,8.2618777295
64,416,6.2720214018
64,417,8.4048807818
64,418,6.7629075214
64,419,7.9888928946
64,420,8.3597051328
64,421,7.6802519473
64,422,7.4278525003
64,423,8.1186395171
64,424,5.7779506705
64,425,8.4283577453
64,426,8.5100200688
64,427,8.5817218942
64,428,8.3969626694
64,429,8.5710691591
64,430,8.7521607326
64,431,7.2173176766
64,432,8.6623719652
64,433,8.7748304948
64,434,6.6529234757
64,435,8.6899844036
64,436,7.9139527550
64,437,8.7333413608
64,438,8.9708631091
64,439,7.6670188845
64,440,5.0751395443
64,441,8.9916955970
64,442,8.6295481343
64,443,8.9341154822
64,444,8.7056755701
64,445,6.9949211777
64,446,6.0372979228
64,447,9.1033020337
64,448,9.0795947716
64,449,7.8309095469
64,450,9.1015810499
64,451,7.6035607389
64,452,8.3244014474
64,453,4.8540751236
64,454,9.3750780952
64,455,9.2897758749
64,456,8.9187582145
64,457,6.7004551418
64,458,9.4041633824
64,459,9.3772688399
64,460,9.3704286620
64,461,9.3328964826
64,462,9.4222744938
64,463,9.4959554174
64,464,9.6151629337
64,465,9.6540530381
64,466,9.6727987492
64,467,9.4362108705
64,468,9.5028569365
64,469,6.5442104272
64,470,9.5899430297
64,471,9.6822171353
64,472,9.6030803571
64,473,9.8007154255
64,474,9.6747203937
64,475,9.7475432245
64,476,9.7147816810
64,477,9.9676315975
64,478,9.9726549804
64,479,9.9881851520
64,480,10.0923573122
64,481,10.0611015401
64,482,9.9858859297
64,483,10.0702853285
64,484,10.2042147623
64,485,9.9096432203
64,486,10.2166979675
64,487,10.1944444122
64,488,10.1948899797
64,489,10.1290145143
64,490,10.2500510807
64,491,10.2933908741
64,492,9.4623335471
64,493,10.3949026858
64,494,10.2962007776
64,495,10.4522550906
64,496,9.6152447447
64,497,10.5873326651
64,498,9.6034076826
64,499,9.5290317252
64,500,7.6842211341
64,501,9.2883160846
64,502,10.6492545988
64,503,10.5751223629
64,504,10.6406610138
64,505,10.5738268179
64,506,10.0389358363
64,507,10.7812039578
64,508,10.7582094919
64,509,10.7933896442
64,510,8.9831514088
64,511,10.9700197375
64,512,10.9842172348
64,513,8.0371309191
64,514,8.8063325095
64,515,11.0107323626
64,516,9.3781354203
64,517,10.8539510964
64,518,11.1629601676
64,519,11.2078239552
64,520,10.9013147904
64,521,9.3829217676
64,522,11.1571751566
64,523,11.1050732556
64,524,11.2305401402
64,525,8.3398694827
64,526,11.2887642171
64,527,8.1988650716
64,528,11.2780461463
64,529,11.3109560314
64,530,9.3187042942
64,531,11.3689944799
64,532,9.3615426482
64,533,6.8678931542
64,534,11.6289632965
64,535,8.0115466455
64,536,11.5826943193
64,537,9.3622574878
64,538,6.7559977177
64,539,10.1626367577
64,540,11.4161730667
64,541,8.7261911644
64,542,11.8420566991
64,543,11.8141154258
64,544,11.8189133951
64,545,11.9285361732
64,546,11.8105110364
64,547,12.0198951880
64,548,9.1591696333
64,549,11.8759131808
64,550,12.0291541509
64,551,11.9517891507
64,552,11.7694239281
64,553,12.2550833735
