n,m,v10
128,129,-0.4829096743
128,130,-1.0961956650
128,131,-0.7455904858
128,132,-0.0145335870
128,133,-0.9043089167
128,134,-1.5482542377
128,135,-1.1221424396
128,136,-1.2104561605
128,137,-1.5323401882
128,138,-1.6259895492
128,139,-0.5023870828
128,140,-1.4094170523
128,141,-0.8198207293
128,142,-1.4386685441
128,143,-0.3618973244
128,144,-0.4592163728
128,145,-2.0494234724
128,146,-1.8542846188
128,147,-1.2589503684
128,148,-0.6500393265
128,149,-1.4600159238
128,150,-1.2915564421
128,151,-1.1714843655
128,152,-1.1871209128
128,153,-1.4903246486
128,154,-1.7824011903
128,155,-0.9892854614
128,156,-0.8499220105
128,157,-0.5735891614
128,158,-2.2364679118
128,159,-1.6921448433
128,160,-0.8795330550
128,161,-0.9195187721
128,162,-1.6685668210
128,163,-1.4263881715
128,164,-0.4650805284
128,165,-1.1060574845
128,166,-1.3043023876
128,167,-1.0578199490
128,168,-1.4896157399
128,169,-1.7609440239
128,170,-1.1455660357
128,171,-1.0753727931
128,172,-0.1642167983
128,173,-1.1334479873
128,174,0.0000000211
128,175,-0.4072193269
128,176,-2.0107067229
128,177,-1.6747831210
128,178,-0.8927853325
128,179,-0.7530231725
128,180,-0.4488490270
128,181,-0.3507395177
128,182,-1.2157196972
128,183,-1.0301356166
128,184,-0.0259198649
128,185,-1.0326881585
128,186,-1.8116352330
128,187,-0.5011201561
128,188,0.0000000000
128,189,-0.9896846485
128,190,-0.4383473105
128,191,-1.3185442307
128,192,0.0000036826
128,193,-0.5459919761
128,194,-0.9611275811
128,195,0.0000000000
128,196,-1.6517228562
128,197,-1.7356202056
128,198,-0.7343610602
128,199,0.0000000016
128,200,-1.2696349353
128,201,-0.6401507414
128,202,-0.5861605549
128,203,-0.8248562547
128,204,-0.7125865510
128,205,-0.7078278721
128,206,-1.6904220207
128,207,-1.0420902495
128,208,-0.8239883819
128,209,-1.0591046779
128,210,-0.9777128283
128,211,-1.2407896625
128,212,-1.4042022220
128,213,-0.9574121949
128,214,-0.9087862654
128,215,-1.9062803988
128,216,-0.8921928937
128,217,-0.4625078200
128,218,-1.6672502190
128,219,-1.7002037389
128,220,-0.0000000000
128,221,-0.8856697255
128,222,-0.4660705232
128,223,-1.5880954937
128,224,-2.1029250364
128,225,-1.2942886506
128,226,-1.7300300501
128,227,-0.4060128488
128,228,-1.8658337606
128,229,-0.0446909230
128,230,-1.0057982982
128,231,-0.7522481583
128,232,-0.0060558401
128,233,-0.9788613277
128,234,-0.8911351231
128,235,-0.5954043592
128,236,-2.1767337469
128,237,-1.2674443627
128,238,-1.0690495399
128,239,-0.5590474183
128,240,0.2914149782
128,241,-1.3710648904
128,242,-0.2481243618
128,243,-0.3465858424
128,244,-0.2377543179
128,245,-0.6685898235
128,246,-0.0000000000
128,247,-1.2403857150
128,248,-0.4903776557
128,249,-1.3327145911
128,250,-0.9356294782
128,251,-0.7650340525
128,252,-1.3103638382
128,253,-0.8091299655
128,254,-0.0029048616
128,255,-0.6790587120
128,256,-0.9950647630
128,257,-1.1187446976
128,258,0.7602675676
128,259,-0.8632545188
128,260,-1.6848746102
128,261,0.0060116224
128,262,-1.4218747430
128,263,0.0000000000
128,264,-0.6734162427
128,265,-0.1862614026
128,266,-1.5787263497
128,267,0.1507048731
128,268,-0.0000000019
128,269,-0.5071900211
128,270,-0.7639440163
128,271,-0.5935608163
128,272,-1.0510011577
128,273,0.1596869797
128,274,-1.0086806379
128,275,-0.4885352031
128,276,-0.0000015272
128,277,-0.2264610198
128,278,0.0000000600
128,279,-0.0000000000
128,280,-1.1827375619
128,281,0.0018216137
128,282,0.0000721543
128,283,-2.0688516833
128,284,0.0070046917
128,285,-0.9440932972
128,286,-0.2701693662
128,287,-0.8876156643
128,288,-0.2107877186
128,289,-0.9214206092
128,290,-0.9225194880
128,291,-0.5291191700
128,292,-0.4042232330
128,293,-0.2519679361
128,294,-1.4824460134
128,295,-2.1336877667
128,296,-0.8078969610
128,297,-1.1465394981
128,298,-0.9952605450
