n,m,v10
32,33,0.0499436817
32,34,0.0561171835
32,35,0.0673941805
32,36,0.1375668592
32,37,0.1888262490
32,38,0.2429642222
32,39,0.2539409765
32,40,0.3227792398
32,41,0.3083592543
32,42,0.3129314817
32,43,0.4067830664
32,44,0.4831823883
32,45,0.5000035991
32,46,0.4637245379
32,47,0.5553888566
32,48,0.5934752271
32,49,0.5406437898
32,50,0.7030803839
32,51,0.7399744786
32,52,0.6766873021
32,53,0.7598297691
32,54,0.8116700218
32,55,0.8125074882
32,56,1.0418563575
32,57,0.9218655555
32,58,1.0307643212
32,59,1.0490596397
32,60,0.9887648513
32,61,1.2368060156
32,62,1.1210547942
32,63,1.1843426204
32,64,1.2738761821
32,65,1.3564287715
32,66,1.4304717020
32,67,1.4169329186
32,68,1.4766276205
32,69,1.5763818597
32,70,1.5750896829
32,71,1.7276246935
32,72,1.6946914436
32,73,1.7476023329
32,74,1.7454754031
32,75,1.8634086152
32,76,1.8274395198
32,77,1.9177559406
32,78,1.9660983697
32,79,2.1364557251
32,80,1.9132852297
32,81,2.1180138797
32,82,1.9961057459
32,83,2.2081033325
32,84,2.3935561196
32,85,2.4311203765
32,86,2.2818208858
32,87,2.3922509517
32,88,2.4978651064
32,89,2.5478467917
32,90,2.3735662874
32,91,2.7288465953
32,92,2.7491121034
32,93,2.7681904740
32,94,2.7611167760
32,95,2.8152377266
32,96,2.9153334497
32,97,3.0207394696
32,98,2.7956647793
32,99,3.0854213619
32,100,3.0790500256
32,101,3.2666069812
32,102,3.1903185456
32,103,3.1838942386
32,104,3.3769310167
32,105,3.4151962632
32,106,3.4460542768
32,107,3.4926775342
32,108,3.5224990053
32,109,3.6836940036
32,110,3.4212828774
32,111,3.7354204667
32,112,3.8714931672
32,113,3.9766717828
32,114,3.8585440368
32,115,4.0110755876
32,116,4.0481100683
32,117,4.0977082842
32,118,2.4242020933
32,119,4.1746037310
32,120,4.2697907960
32,121,4.2827587988
32,122,4.4110539928
32,123,4.4439065216
32,124,4.5075285299
32,125,4.4961490469
32,126,4.6435333400
32,127,4.4544726594
32,128,4.4767904235
32,129,4.7809093019
32,130,4.8994653593
32,131,4.9079690750
32,132,5.0391966790
32,133,5.0011460177
32,134,4.9967510105
32,135,5.0328212742
32,136,5.1631106982
32,137,5.0885957770
32,138,5.3092668356
32,139,5.2934293941
32,140,5.3495958356
32,141,5.4117924491
32,142,5.4928806430
32,143,5.7059008867
32,144,5.5448080896
32,145,5.5524455776
32,146,5.5418212837
32,147,5.2591127762
32,148,5.4879957857
32,149,5.2852259501
32,150,5.9451831757
32,151,5.8668932094
32,152,5.9888817229
32,153,6.0916110637
32,154,6.0811851470
32,155,6.1422874631
32,156,6.3170443824
32,157,6.4146958045
32,158,6.4849626380
32,159,6.0180028622
32,160,6.4089621901
32,161,6.4863684437
32,162,6.6510987977
32,163,6.7197605995
32,164,6.4920772081
32,165,5.7578641109
32,166,6.5897627107
32,167,6.9368404909
32,168,7.1141559964
32,169,7.1752237952
32,170,7.0944799208
32,171,7.1025626901
32,172,7.2105575856
32,173,7.1860508641
32,174,7.4148205821
32,175,7.4047578958
32,176,7.4132350211
32,177,7.4879033286
32,178,6.5637594047
32,179,7.7515339738
32,180,7.6341099365
32,181,7.6398014898
32,182,7.9275799578
32,183,7.5881841707
32,184,7.8533627799
32,185,7.5289486458
32,186,7.9900591869
32,187,8.2073602256
32,188,8.2438697548
32,189,8.0420148366
32,190,8.3890231926
32,191,8.4535662033
32,192,8.0699162335
32,193,8.6708717982
32,194,8.7031431713
32,195,8.7583706631
32,196,8.5476347620
32,197,8.5792750880
32,198,8.7998266002
32,199,8.7056905544
32,200,8.9065776891
32,201,8.9776225375
32,202,9.0546597649
32,203,9.0009067119
32,204,9.2334470853
32,205,9.1234193936
32,206,9.4707482526
32,207,9.2271484716
32,208,9.3339370424
32,209,9.4622923147
32,210,9.5919320198
32,211,9.5249305731
32,212,9.6214681851
32,213,9.7631269010
32,214,9.4747700042
32,215,9.8417465786
32,216,9.8881323660
32,217,9.7840853037
32,218,9.8041667799
32,219,9.7838757000
32,220,10.1937632018
32,221,9.8391088319
32,222,10.0819104131
32,223,9.8558166614
32,224,10.3330892591
32,225,10.5571040076
32,226,10.4518470721
32,227,10.7537897793
32,228,10.7119734667
32,229,9.4497786463
32,230,10.7797922366
32,231,10.9233459150
32,232,10.7520250781
32,233,10.8286413068
32,234,11.0463043452
32,235,10.8438711080
32,236,11.2753666498
32,237,11.0301778171
32,238,11.3399480296
32,239,11.2976055031
32,240,11.3425533169
32,241,11.2366511491
32,242,11.5384425975
32,243,11.4602683003
32,244,11.6433206395
32,245,11.8694734928
32,246,11.7728063795
32,247,11.8384598897
32,248,11.9724942641
32,249,11.9232992978
32,250,12.0741177276
32,251,12.0736514211
32,252,12.1544695050
32,253,12.2161853872
32,254,12.0814019401
32,255,12.3823759700
32,256,12.5206762371
32,257,12.4869884758
32,258,12.5595880799
32,259,12.5268936681
32,260,12.6527348327
32,261,12.8832299712
32,262,12.6779289868
32,263,12.9918049096
32,264,12.9223398462
32,265,12.9017579339
32,266,12.9772166204
32,267,13.2537827637
32,268,13.0841848040
32,269,13.3827234970
32,270,13.1838143436
32,271,13.3195431717
32,272,13.2896311137
32,273,13.5806190166
32,274,13.5668272832
32,275,13.7783678978
32,276,13.7759253363
32,277,13.7210787116
32,278,13.8699632738
32,279,13.6926168052
32,280,13.8649801704
32,281,13.7308340283
32,282,14.2431437221
32,283,13.9864801306
32,284,14.2496362140
32,285,14.3364007238
32,286,14.2794749981
32,287,14.4665026313
32,288,14.6231806282
32,289,14.4641568199
32,290,14.7086768768
32,291,14.7229830568
32,292,14.7424195043
32,293,14.7320586825
32,294,14.9139112394
32,295,15.0317525239
32,296,15.0779483812
32,297,14.9291585709
32,298,15.1324039286
32,299,15.4073829358
32,300,15.2419705095
32,301,15.4513532078
32,302,15.3048644719
32,303,15.3789673055
32,304,15.5652870554
32,305,15.7161243504
32,306,15.5239844260
32,307,15.8936706428
32,308,15.8459338336
32,309,15.9143791441
32,310,15.9631637769
32,311,16.0994862163
32,312,16.1556270267
32,313,16.1638270850
32,314,16.1296878031
32,315,16.0399074093
32,316,16.4880517172
32,317,16.4083069005
32,318,16.5226542074
32,319,16.5443689298
32,320,16.6158267657
32,321,16.7196428322
32,322,16.7978675618
32,323,16.7945657766
32,324,16.8594596672
32,325,16.8856705271
32,326,16.9639559043
32,327,17.1535041792
32,328,17.2234316249
32,329,17.0913835479
32,330,17.3807893482
32,331,17.4333402019
32,332,17.4060587697
32,333,17.4804090243
32,334,17.5331061126
32,335,17.5984811359
32,336,17.4559136602
32,337,17.6067134234
32,338,17.7090698647
32,339,17.7380998857
32,340,17.9875687723
32,341,18.0096240149
32,342,18.1289566694
32,343,18.1747523915
32,344,17.9164840833
32,345,18.3651992215
32,346,18.3943612037
32,347,17.5566550251
32,348,18.6115866025
32,349,18.6758743409
32,350,18.7010568115
32,351,18.8374115717
32,352,18.8001045987
32,353,18.9653682564
32,354,18.7459803017
32,355,19.1525976993
32,356,18.9377994170
32,357,19.1688366556
32,358,19.1607078786
32,359,19.3913989073
32,360,19.2812007748
32,361,19.3265283265
32,362,19.0793286294
32,363,19.6673882019
32,364,19.7767994896
32,365,19.6635332245
32,366,19.6502488895
32,367,19.6552407239
32,368,19.9139635900
32,369,19.8765492632
32,370,19.9916380633
32,371,20.0876093177
32,372,20.3316471946
32,373,20.3223929645
32,374,20.4020272603
32,375,20.0748565397
32,376,20.5927279522
32,377,20.4335779321
32,378,20.7705241803
32,379,20.8469407560
32,380,20.7822073890
32,381,20.7592775083
32,382,21.0692904388
32,383,20.9551368885
32,384,21.2178170930
32,385,21.3172434252
32,386,21.2357391545
32,387,21.1678917010
32,388,21.4948818262
32,389,21.4041150300
32,390,21.7048491635
32,391,21.6544473555
32,392,21.5910729959
32,393,21.6201954831
32,394,21.9829442269
32,395,22.0006400580
32,396,22.0136665280
32,397,22.0537649081
32,398,22.0845872695
32,399,22.0805824411
32,400,22.3843276612
32,401,22.0879135167
32,402,22.4717556794
32,403,22.5577919319
32,404,22.5814832501
32,405,22.4914797216
32,406,22.7515732060
32,407,22.6873837314
32,408,22.9225198308
32,409,22.8768896721
32,410,22.7420499133
32,411,23.1872458203
32,412,23.1722622150
32,413,23.3818974176
32,414,23.4046904506
32,415,23.5115067103
32,416,23.6824105281
32,417,23.4575771706
32,418,23.4755703621
32,419,23.6006792113
32,420,23.7072040909
32,421,23.9081933291
32,422,23.9905239094
32,423,24.0116482853
32,424,24.0686100948
32,425,23.9988009579
32,426,24.2010068914
32,427,24.4559555408
32,428,24.3454281711
32,429,24.6545933923
32,430,24.3368160170
32,431,24.5624867644
32,432,24.7794011718
32,433,24.7693945390
32,434,24.9885708243
32,435,24.2724703961
32,436,25.1170548614
32,437,25.1828380691
32,438,25.0615829003
32,439,25.2370346676
32,440,25.5272230128
32,441,25.3628770036
32,442,25.6424037353
32,443,25.7115080181
32,444,25.8179488616
32,445,25.6697377572
32,446,25.8691260332
32,447,25.9788052491
32,448,26.0188630721
32,449,26.0926891805
32,450,26.3380864243
32,451,26.4371288910
32,452,26.5476685839
32,453,26.4835285831
32,454,26.6287358609
32,455,26.8094473819
32,456,26.6922291470
32,457,26.7808822900
32,458,26.9081296542
32,459,27.0885374394
32,460,27.2925386630
32,461,27.2061365627
32,462,27.3319080650
32,463,27.4504948974
32,464,27.4028975234
32,465,27.3920833607
32,466,27.6172750439
32,467,27.8299135134
32,468,27.5289083934
32,469,27.6500108566
32,470,27.6713879173
32,471,27.5704111068
32,472,27.6153121413
32,473,28.0000000000
32,474,27.7716717841
32,475,27.7856802566
32,476,27.7667904569
32,477,27.8299135134
32,478,28.3819660113
32,479,28.0000000000
32,480,28.2680353496
32,481,28.2679491924
32,482,28.4002501743
32,483,28.5857864376
32,484,29.0000000000
32,485,29.0000000000
32,486,29.0000000000
32,487,29.0000000000
32,488,29.0000000000
32,489,29.0000000000
32,490,29.9951696929
32,491,29.0000000000
32,492,29.0000000000
32,493,30.0000000000
32,494,30.0000000000
32,495,30.0000000000
32,496,32.0000000000
